104	204	7
104	205	5
104	206	8
104	207	9
104	208	12
104	117	8
104	209	23
104	210	5
104	211	6
104	212	7
104	213	8
104	115	6
104	214	7
104	215	5
104	216	5
104	158	5
105	322	7
105	117	10
105	387	8
105	158	7
105	388	9
105	130	13
105	106	85
105	212	6
105	486	5
105	209	18
105	126	9
105	127	9
105	125	16
105	455	5
105	443	6
105	390	6
105	216	7
105	423	5
105	422	6
106	116	5
106	322	9
106	235	9
106	117	26
106	387	8
106	160	8
106	413	5
106	444	5
106	119	6
106	158	8
106	388	7
106	130	23
106	212	9
106	209	40
106	487	6
106	409	5
106	410	5
106	411	5
106	412	9
106	488	5
106	446	9
106	443	8
106	126	16
106	127	14
106	125	24
106	422	11
106	455	6
106	414	5
106	216	7
106	302	7
106	321	5
106	423	6
106	111	5
106	205	6
106	427	5
106	120	5
106	208	11
106	456	5
106	452	5
106	449	5
106	390	8
106	128	8
106	451	5
106	156	6
106	450	5
106	214	5
106	112	5
107	108	7
107	115	17
107	158	5
107	394	5
107	219	9
107	396	5
107	391	5
107	397	5
107	210	9
107	402	5
108	118	7
108	218	5
108	224	5
108	301	6
108	115	16
108	302	5
108	303	5
108	304	5
108	241	11
108	133	5
108	138	5
108	158	7
108	219	7
108	156	8
108	130	6
108	305	6
108	306	12
108	136	6
108	307	6
109	116	5
109	112	15
109	157	8
109	158	9
109	159	7
109	160	5
110	111	15
111	130	8
112	116	7
112	161	5
112	322	5
112	117	10
112	387	13
112	413	5
112	416	6
112	158	12
112	388	5
112	212	5
112	216	7
112	154	12
112	128	6
112	309	6
112	425	17
112	155	5
112	509	7
112	510	5
112	157	7
112	450	5
114	220	7
114	479	7
114	222	5
115	134	5
115	218	10
115	327	5
115	136	6
115	158	8
115	139	13
115	135	5
115	391	16
115	392	5
115	393	10
115	314	5
115	394	6
115	395	6
115	396	11
115	309	5
115	130	5
115	359	16
115	210	19
115	219	36
115	397	10
115	330	5
115	398	5
115	399	6
115	400	8
115	401	9
115	214	5
115	402	5
115	180	7
115	403	5
115	404	5
115	405	6
115	406	6
115	305	5
115	301	8
115	307	5
115	407	5
116	117	8
116	154	7
116	155	9
116	156	6
117	235	5
117	138	5
117	387	26
117	159	5
117	128	12
117	158	5
117	209	9
117	130	5
117	388	10
117	389	7
117	390	5
118	134	18
118	153	7
118	179	7
118	135	6
118	136	5
118	180	8
118	181	6
118	182	7
118	183	6
118	184	5
118	130	6
118	185	5
118	186	5
118	133	8
118	187	7
119	477	6
119	321	5
119	126	5
119	127	5
121	133	5
123	713	6
125	130	9
125	212	5
125	209	9
125	126	7
125	127	6
125	430	5
125	214	7
126	127	33
128	158	5
128	312	5
128	527	5
129	679	5
130	206	5
130	302	15
130	209	9
130	207	8
130	214	7
130	208	8
130	391	6
131	132	18
133	134	7
133	276	6
133	315	15
133	316	5
133	317	5
134	135	7
134	136	9
134	137	5
134	138	5
134	139	5
135	136	8
135	391	9
135	210	5
136	225	7
137	234	5
137	572	6
138	158	5
138	243	5
138	390	6
138	459	6
139	218	5
139	158	5
139	219	5
139	307	5
140	141	5
140	142	9
141	211	5
142	211	6
143	144	9
143	145	5
143	146	41
143	147	6
143	148	11
143	149	9
143	150	6
143	151	5
146	151	5
146	240	6
146	620	5
146	345	13
146	149	10
146	148	13
146	621	6
146	520	6
146	622	5
146	623	9
146	624	5
146	339	5
146	150	5
146	256	9
146	625	10
148	152	6
148	151	6
148	620	5
148	345	8
148	149	12
149	345	7
150	565	6
150	657	6
154	216	5
154	509	5
154	425	7
156	218	6
156	387	5
156	158	5
156	220	8
156	209	5
156	241	6
156	588	5
156	479	8
156	589	8
156	223	6
156	590	11
156	591	8
156	592	6
156	593	9
156	439	5
156	594	10
156	305	5
156	595	6
157	158	9
157	513	7
157	514	5
157	440	6
158	310	6
158	312	6
158	314	5
158	209	7
158	307	5
159	160	5
159	488	5
159	669	9
160	309	5
160	212	5
163	164	8
164	426	8
165	555	7
165	168	11
165	173	6
165	556	6
165	557	8
165	558	6
165	532	5
166	175	6
168	555	9
168	173	5
168	556	14
168	708	12
168	557	7
168	558	6
169	569	5
169	716	8
169	717	9
169	535	7
169	231	5
169	533	6
169	249	7
169	1008	6
